notionPageId,company,website,location,category,reach,pipelineStatus,automationStatus,dataQuality,hasEmail,hasPhone,hasDraft,hasSentMessage,hasReply,hasFollowUpDraft,hasError,sentAt,lastContacted,lastUpdated,followUpCreatedAt,replyDetectedAt,dataSource,automationError
364f938c-c271-8025-98e4-cd2f0d7a66b5,Stiftsbibliothek,https://www.stiftsbezirk.ch/de/stiftsbibliothek/,,,,Lead,Fehler,Teilweise,true,true,false,false,false,false,true,,,2026-05-18T12:06:00.000+00:00,,,https://stiftsbezirk.ch/de/kontakt https://www.stiftsbezirk.ch/de/stiftsbibliothek/ https://stiftsbezirk.ch/de/impressum,invalid_grant
358f938c-c271-80ca-9a6a-c6f61190a81a,SUP / Kajak / See-Action,https://www.naturfreundehaus-bodensee.de/,,,,E-Mail / Contacted,Fehler,,true,true,true,false,false,false,true,,,,,,,invalid_grant
35df938c-c271-8023-a362-c6c9f029c2e1,Swiss Science Center Technorama,https://www.technorama.ch/de/home,,,,Closed-Won,Fehler,,true,false,true,false,false,false,true,,,,,,,invalid_grant
364f938c-c271-8091-93d4-d2f73f863a4a,Textilmuseum St. Gallen,https://www.textilmuseum.ch/,,,,Lead,Fehler,Vollständig,true,true,false,false,false,false,true,,,2026-05-18T12:06:00.000+00:00,,,https://www.textilmuseum.ch/ https://www.textilmuseum.ch/kontakt-titelseite/ https://www.textilmuseum.ch/impressum/ https://www.textilmuseum.ch/about https://www.textilmuseum.ch/%C3%BCber-uns https://www.textilmuseum.ch/presse,invalid_grant
361f938c-c271-8097-b2b1-f7c3905cbdc2,Theater Konstanz,https://www.theaterkonstanz.de/,,,,Lead,Fehler,Vollständig,true,true,true,false,false,false,true,,,2026-05-15T20:44:00.000+00:00,,,https://www.theaterkonstanz.de/kontakt https://www.theaterkonstanz.de/180799.html https://www.theaterkonstanz.de/impressum https://www.theaterkonstanz.de/presse https://www.theaterkonstanz.de/press,invalid_grant
358f938c-c271-809d-b2f1-ebd9c05a9e50,Therme Erding,https://www.therme-erding.de/,,,,Closed-Won,Fehler,,true,true,true,false,false,false,true,,,,,,,invalid_grant
357f938c-c271-8087-8645-e8714927f8e0,Uhrenmuseum VS,uhrenindustriemuseum.de,,,,E-Mail / Contacted,Daten ergänzt,Vollständig,true,true,true,true,false,false,false,2026-05-11,2026-05-11,2026-05-12T13:51:00.000+00:00,,,https://www.uhrenindustriemuseum.de/startseite,
364f938c-c271-80f2-a129-c672db12a13c,vineum Bodensee,www.vineum-bodensee.de,,,,Lead,Fehler,Vollständig,true,true,false,false,false,false,true,,,2026-05-18T12:03:00.000+00:00,,,https://www.vineum-bodensee.de/willkommen https://www.vineum-bodensee.de/impressum,invalid_grant
361f938c-c271-8024-8ffe-d5ba25e91e27,vorarlberg museum (Bregenz),https://www.vorarlbergmuseum.at/,,,,Lead,Fehler,Vollständig,true,true,true,false,false,false,true,,,2026-05-15T20:44:00.000+00:00,,,https://www.vorarlbergmuseum.at/museum/presse/ https://www.vorarlbergmuseum.at/ https://www.vorarlbergmuseum.at/impressum,invalid_grant
35ef938c-c271-8022-8cfe-c0016e8fd4d6,VR City AG,https://vrcity.ch/de/winterthur,,,,Lead,Fehler,Teilweise,true,true,false,false,false,false,true,,,2026-05-18T12:07:00.000+00:00,,,https://vrcity.ch/de/winterthur https://vrcity.ch/de/zurich/kontakt https://vrcity.ch/de/zurich/impressum,invalid_grant
35af938c-c271-80ed-b886-ead2d1a7e666,Wakeboard- und Wasserskipark Pfullendorf,https://www.wakepark-pfullendorf.de/,,,,E-Mail / Contacted,Fehler,,true,true,true,false,false,false,true,,,,,,,invalid_grant
364f938c-c271-80b9-9b69-e25ae379ef6a,Walter Zoo Gossau,walterzoo.ch,,,,Lead,Fehler,Vollständig,true,true,false,false,false,false,true,,,2026-05-18T12:06:00.000+00:00,,,https://walterzoo.ch/ https://walterzoo.ch/kontakt https://walterzoo.ch/impressum,invalid_grant
358f938c-c271-8084-a666-db04361a2a92,Wilhelma,https://www.wilhelma.de/,,,,Reply,Fehler,Vollständig,true,true,true,true,false,false,true,2026-05-12T20:01:00.000+00:00,2026-05-12T20:01:00.000+00:00,2026-05-12T18:26:00.000+00:00,,,https://www.wilhelma.de/kontakt https://www.wilhelma.de/ https://www.wilhelma.de/impressum https://www.wilhelma.de/aktuelles/aktuelles/news-presse,invalid_grant
358f938c-c271-8011-8a3f-f21553e5b61a,Zeppelin Museum,https://www.zeppelin-museum.de/,,,,E-Mail / Contacted,Fehler,,true,true,true,false,false,false,true,,,,,,,invalid_grant
35cf938c-c271-8013-9816-fa76a57d6e7b,Zirkus Charles Knie,https://www.zirkus-charles-knie.de/,,,,E-Mail / Contacted,Fehler,,true,true,true,false,false,false,true,,,,,,,invalid_grant
361f938c-c271-80e4-acb6-fdd65f17e99b,Zoo Zürich AG,https://www.zoo.ch/de,,,,Lead,Fehler,Vollständig,true,true,false,false,false,false,true,,,2026-05-18T12:07:00.000+00:00,,,https://www.zoo.ch/de/impressum https://www.zoo.ch/de/kontakt https://www.zoo.ch/de,invalid_grant
358f938c-c271-80d2-ad90-c842f314c1ee,Zugspitze,https://zugspitze.de/,,,,Lead,Fehler,Vollständig,true,true,true,false,false,false,true,,,2026-05-12T23:45:00.000+00:00,,,https://zugspitze.de/en,invalid_grant
